CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
555,27,Female,41,81.41,Month-to-Month,,713.2,No,Yes
883,54,Male,35,94.33,One-Year,Fiber Optic,7562.29,Yes,Yes
101,40,Male,31,49.01,Month-to-Month,Fiber Optic,1481.22,No,No
329,55,Male,66,77.29,Month-to-Month,DSL,980.43,No,Yes
922,50,Female,3,34.54,Month-to-Month,DSL,5242.88,No,Yes
810,36,Male,11,89.74,Month-to-Month,DSL,987.14,Yes,Yes
745,49,Male,44,80.16,Month-to-Month,DSL,172.08,No,Yes
166,65,Male,21,89.74,Month-to-Month,,1407.56,No,Yes
247,35,Female,72,50.6,Month-to-Month,,264.36,No,Yes
632,60,Female,83,89.36,Month-to-Month,Fiber Optic,7416.88,Yes,Yes
9183,68,Male,117,41.32,Two-Year,DSL,4834.44,Yes,No
251,45,Female,7,61.28,One-Year,,70.2,No,Yes
363,52,Female,10,63.5,Month-to-Month,DSL,338.48,No,Yes
274,46,Female,7,45.53,Month-to-Month,,581.9,No,Yes
103,40,Male,73,116.19,Two-Year,Fiber Optic,222.21,No,Yes
300,62,Female,4,41.34,Month-to-Month,DSL,2761.08,No,Yes
665,43,Female,10,83.57,Two-Year,Fiber Optic,629.76,Yes,Yes
204,55,Female,10,96.37,Month-to-Month,Fiber Optic,963.7,No,Yes
9303,29,Female,49,29.9,One-Year,,1465.1,Yes,No
310,42,Female,14,46.46,Two-Year,Fiber Optic,650.44,Yes,No
684,59,Female,26,77.23,Month-to-Month,DSL,0.0,Yes,Yes
512,44,Male,3,61.28,Two-Year,,183.84,No,Yes
9336,67,Male,29,66.37,Two-Year,DSL,1924.73,Yes,No
622,49,Female,37,61.12,Month-to-Month,Fiber Optic,2261.44,No,Yes
171,36,Female,10,70.97,Month-to-Month,,709.7,No,Yes
135,35,Male,18,82.29,One-Year,Fiber Optic,1481.22,No,Yes
935,36,Male,9,50.36,Month-to-Month,DSL,502.92,Yes,Yes
906,45,Female,9,45.14,Month-to-Month,,223.25,Yes,Yes
597,42,Female,29,90.97,One-Year,Fiber Optic,2638.13,No,Yes
883,41,Male,5,106.22,Month-to-Month,DSL,2970.54,Yes,Yes
9256,62,Male,112,63.71,One-Year,Fiber Optic,7135.52,Yes,No
852,38,Male,58,85.15,Month-to-Month,DSL,441.36,No,Yes
279,44,Male,19,98.28,One-Year,Fiber Optic,756.67,Yes,Yes
808,40,Female,11,45.72,Month-to-Month,,502.92,No,Yes
147,32,Male,18,38.7,Month-to-Month,Fiber Optic,267.69,No,Yes
71,48,Female,2,59.21,Month-to-Month,Fiber Optic,118.42,Yes,Yes
496,30,Male,25,30.75,Month-to-Month,DSL,0.0,Yes,Yes
779,41,Female,24,116.23,Month-to-Month,DSL,582.4,Yes,Yes
575,38,Female,21,40.47,Two-Year,Fiber Optic,812.89,No,No
631,45,Female,4,60.54,Month-to-Month,,836.97,No,Yes
486,30,Female,37,59.41,Month-to-Month,Fiber Optic,2198.17,Yes,Yes
747,46,Female,2,72.09,Month-to-Month,Fiber Optic,144.18,Yes,Yes
361,36,Male,23,44.8,Month-to-Month,,296.37,No,No
875,44,Male,14,65.29,Month-to-Month,DSL,255.78,Yes,No
323,36,Female,36,101.63,Month-to-Month,Fiber Optic,3658.68,Yes,Yes
602,40,Female,7,85.76,Month-to-Month,,960.15,Yes,Yes
577,50,Male,28,86.46,Two-Year,,7912.32,Yes,No
786,39,Male,8,36.93,One-Year,DSL,1846.8,No,Yes
451,44,Male,17,89.72,Month-to-Month,Fiber Optic,1525.24,Yes,Yes
315,58,Female,36,81.41,Month-to-Month,DSL,2930.76,No,Yes
258,37,Female,59,75.5,Two-Year,Fiber Optic,4454.5,Yes,No
491,63,Female,88,44.46,Month-to-Month,,242.97,No,Yes
290,38,Male,19,59.54,Two-Year,DSL,1131.26,Yes,No
517,31,Female,60,82.7,Month-to-Month,DSL,118.47,Yes,Yes
231,67,Male,18,50.6,Two-Year,,292.1,Yes,Yes
518,37,Male,1,54.36,One-Year,,772.16,Yes,Yes
31,38,Male,34,102.27,Month-to-Month,DSL,3477.18,No,Yes
932,36,Female,11,52.47,Two-Year,DSL,1002.51,No,Yes
388,63,Female,9,51.32,Month-to-Month,DSL,461.88,Yes,Yes
832,35,Male,1,115.13,Month-to-Month,Fiber Optic,115.13,Yes,Yes
637,40,Male,16,112.02,Month-to-Month,Fiber Optic,1532.86,Yes,Yes
